stock_code,end_date,operating_revenue,net_profit,net_cashflow_oper_act
002558.SZ,20210331,566854107.89,319523805.78,97935640.77
002558.SZ,20210630,1035858568.95,570772900.07,157594762.2
002558.SZ,20210930,1542177237.75,869447966.7,356390973.67
002558.SZ,20211231,2124268636.73,989539055.91,637938977.44
002558.SZ,20220331,580401269.89,265903016.23,108148799.83
002558.SZ,20220630,1063888971.28,490532825.34,361013149.4
002558.SZ,20220930,1572502745.46,764637423.57,559130105.09
002558.SZ,20221231,2037707421.34,833851530.1,736854360.96
002558.SZ,20230331,507540726.58,246124876.09,145934734.74
002558.SZ,20230630,1443488091.21,665932359.81,537007444.03
002558.SZ,20230930,2267254807.49,1089071567.56,800469819.95
002558.SZ,20231231,2924173672.43,1091815121.01,1125072143.78
002558.SZ,20240331,696402216.01,354249561.82,266305471.33
002558.SZ,20240630,1427137420.29,720432274.28,464988577.23
002558.SZ,20240930,2218411601.5,1076717176.39,734918882.14
002558.SZ,20241231,2922846402.21,1430947587.71,1034206211.93
002558.SZ,20250331,723814403.15,345720701.43,217568723.5
002558.SZ,20250630,1662199977.45,785596896.36,742762741.45
002558.SZ,20250930,3368421677.17,1430892154.27,1851250272.84
002619.SZ,20200331,93695949.28,62316824.38,-44231340.08
002619.SZ,20200630,157299977.15,35981024.62,-25130925.73
002619.SZ,20200930,203152269.23,31684035.84,-57506085.84
002619.SZ,20201231,181897280.41,-1250169515.45,-294982439.25
002619.SZ,20210331,18826459.97,-23128607.63,153072148.14
002619.SZ,20210630,35867146.57,-45280031.46,922094238.12
002619.SZ,20210930,44915506.6,-78826675.87,840810419.04
002624.SZ,20200331,2574485375.2,608405256.02,571016149.37
002624.SZ,20200630,5143629319.8,1255972366.63,2128407512.59
002624.SZ,20200930,8062057413.26,1779039675.07,2859520130.53
002624.SZ,20201231,10224767171.31,1504287486.34,3692549364.59
002624.SZ,20210331,2230955314.4,452680118.25,39079365.54
002624.SZ,20210630,4206582889.92,185187618.43,325664415.64
002624.SZ,20210930,6739494487.57,740311020.79,506876141.39
002624.SZ,20211231,8517998133.61,177362555.72,1097681874.57
002624.SZ,20220331,2128318062.69,830900921.38,87342428.39
002624.SZ,20220630,3923301537.63,1131742948.29,418055671.71
002624.SZ,20220930,5711440652.45,1435623186.7,688325137.87
002624.SZ,20221231,7670402228.08,1399589204.69,1155208642.79
002624.SZ,20230331,1903728618.64,233093686.04,-154513914.86
002624.SZ,20230630,4459955324.56,384716878.33,320405917.06
002624.SZ,20230930,6195583795.08,633988934.93,611154987.05
002624.SZ,20231231,7790717277.28,582595567.48,761820285.9
002624.SZ,20240331,1329062879.22,38218190.88,-354612700.79
002624.SZ,20240630,2759914394.43,-122219319.0,-155527712.5
002624.SZ,20240930,4072771652.39,-399968017.96,-105389255.04
002624.SZ,20241231,5570490164.67,-1400096630.81,576532621.16
002624.SZ,20250331,2023057481.26,310782592.38,199823910.63
002624.SZ,20250630,3690992631.88,507299924.25,502214625.9
002624.SZ,20250930,5416741316.09,653842124.59,888897107.01
300031.SZ,20200331,639740699.14,134129574.03,41498963.81
300031.SZ,20200630,1313062370.75,241859273.93,188564983.62
300031.SZ,20200930,1951909829.1,323726126.47,277909001.88
300031.SZ,20201231,2637922427.09,441013188.21,277767132.94
300031.SZ,20210331,732676394.49,111327905.26,-12019713.31
300031.SZ,20210630,1334492406.92,254493457.92,83542211.33
300031.SZ,20210930,1972063190.37,339788492.79,138004255.19
300031.SZ,20211231,2759779257.02,383387100.84,152358092.55
300031.SZ,20220331,662174594.8,72923273.06,-16511709.86
300031.SZ,20220630,1525578358.48,35663282.83,-44269812.51
300031.SZ,20220930,2387923013.77,37294990.28,-96251471.02
300031.SZ,20221231,3259223237.01,-468633688.68,12132497.48
300031.SZ,20230331,755240200.37,104752428.83,-2259286.38
300031.SZ,20230630,1545293880.26,151398034.48,106745959.54
300031.SZ,20230930,2417888779.48,136085893.91,103125608.16
300031.SZ,20231231,3655403159.38,110999056.31,430750196.2
300031.SZ,20240331,839461597.57,111507129.07,160119367.13
300031.SZ,20240630,1715550300.37,219827412.89,152439189.36
300031.SZ,20240930,2447807855.88,276704822.23,285092045.84
300031.SZ,20241231,3302022944.78,253913785.67,308761303.77
300031.SZ,20250331,758725719.48,58064758.65,83072447.08
300031.SZ,20250630,1607108948.28,148685696.59,181887945.23
300031.SZ,20250930,2456947661.62,220750091.36,214790602.89
300043.SZ,20200331,397039388.13,13021855.79,98998713.81
300043.SZ,20200630,847186385.77,-44450890.6,264361382.98
300043.SZ,20200930,1343890780.93,26750730.94,405801351.56
300043.SZ,20201231,1742854011.17,26020601.85,651538788.84
300043.SZ,20210331,279781232.6,-78995741.0,-38159305.77
300043.SZ,20210630,529784060.14,-198443080.31,-38294980.31
300043.SZ,20210930,952041268.33,-250807095.23,-104887050.55
300043.SZ,20211231,1406891138.77,-664137856.65,100008315.94
300043.SZ,20220331,369310262.88,-9651417.3,46689049.05
300043.SZ,20220630,777296747.82,-13842365.73,140161892.27
300043.SZ,20220930,1299903318.24,-49698369.79,123035825.68
300043.SZ,20221231,1605936337.27,-311133971.86,200617564.46
300043.SZ,20230331,321494068.02,-41556664.52,39384950.93
300043.SZ,20230630,715130684.65,-77281188.63,115155545.84
300043.SZ,20230930,1465936119.12,57466196.01,175461616.28
300043.SZ,20231231,1732809122.13,27587148.63,212026013.49
300043.SZ,20240331,302205055.92,-96976556.58,9488571.61
300043.SZ,20240630,614913872.78,-179216579.68,44637854.52
300043.SZ,20240930,1033846098.31,-231513811.78,113475646.0
300043.SZ,20241231,1360400333.58,-458770520.22,160694167.93
300043.SZ,20250331,414409569.31,-47693456.48,104548914.76
300043.SZ,20250630,1135031541.25,155463360.45,374052800.69
300043.SZ,20250930,1726836067.21,268501323.43,408266801.22
300148.SZ,20200331,170393620.05,11078489.55,-34432037.56
300148.SZ,20200630,377815321.86,38383388.19,-10514779.45
300148.SZ,20200930,554592198.93,25557516.0,8698681.63
300148.SZ,20201231,847680612.1,-923590705.27,136564308.08
300148.SZ,20210331,108061464.31,20021022.15,-7817102.37
300148.SZ,20210630,265294369.79,42711289.86,-27809348.39
300148.SZ,20210930,351056316.14,33309186.51,-16882416.43
300148.SZ,20211231,505470902.13,-692864905.99,140497622.42
300148.SZ,20220331,73448026.76,-6365662.59,-85359543.14
300148.SZ,20220630,274722262.01,22332403.31,-4418277.96
300148.SZ,20220930,354629426.39,17500479.69,26601746.7
300148.SZ,20221231,605838110.06,-304507936.1,110967186.87
300148.SZ,20230331,52528330.75,-4563576.41,-48319805.77
300148.SZ,20230630,192067680.11,1597503.12,-3002799.63
300148.SZ,20230930,243307578.3,-17292679.94,-19268581.17
300148.SZ,20231231,447886635.37,-53960092.72,71991379.93
300148.SZ,20240331,48934354.37,-4487180.74,-78266823.95
300148.SZ,20240630,206669097.81,17741408.1,-107179456.71
300148.SZ,20240930,241774161.46,16547102.32,-85104525.34
300148.SZ,20241231,460890509.01,29512842.17,-38168993.29
300148.SZ,20250331,74596640.29,22236684.28,-5138728.9
300148.SZ,20250630,248517276.86,53218609.95,22614815.62
300148.SZ,20250930,291632714.03,53874834.03,9290583.34
300315.SZ,20200331,409045957.44,93064671.57,21090830.5
300315.SZ,20200630,926304763.83,441487028.31,232190924.68
300315.SZ,20200930,1366394682.76,482128162.18,281325951.43
300315.SZ,20201231,1789193899.97,312423541.08,479689020.95
300315.SZ,20210331,353244085.32,82812458.1,-80536493.84
300315.SZ,20210630,819241355.75,187069486.9,11458547.27
300315.SZ,20210930,1179610513.12,244867254.1,106762836.11
