date,cash,stock_value,total_value,positions
20250421,828276.9999999995,0.0,828276.9999999995,0
20250422,828276.9999999995,0.0,828276.9999999995,0
20250423,828276.9999999995,0.0,828276.9999999995,0
20250424,828276.9999999995,0.0,828276.9999999995,0
20250425,828276.9999999995,0.0,828276.9999999995,0
20250428,828276.9999999995,0.0,828276.9999999995,0
20250429,828276.9999999995,0.0,828276.9999999995,0
20250430,828276.9999999995,0.0,828276.9999999995,0
20250506,274.9999999994179,828002.0000000001,828276.9999999995,1
20250507,274.9999999994179,823003.9999999999,823278.9999999993,1
20250508,274.9999999994179,833000.0,833274.9999999994,1
20250509,274.9999999994179,814674.0,814948.9999999994,1
20250512,274.9999999994179,826336.0,826610.9999999994,1
20250513,274.9999999994179,814674.0,814948.9999999994,1
20250514,274.9999999994179,801346.0000000001,801620.9999999995,1
20250515,274.9999999994179,776355.9999999999,776630.9999999993,1
20250516,274.9999999994179,773024.0,773298.9999999994,1
20250519,274.9999999994179,776356.0,776630.9999999994,1
20250520,274.9999999994179,796348.0,796622.9999999994,1
20250521,274.9999999994179,786352.0,786626.9999999994,1
20250522,274.9999999994179,788018.0000000001,788292.9999999995,1
20250523,274.9999999994179,766360.0000000001,766634.9999999995,1
20250526,274.9999999994179,784686.0000000001,784960.9999999995,1
20250527,274.9999999994179,774689.9999999999,774964.9999999993,1
20250528,274.9999999994179,768026.0,768300.9999999994,1
20250529,274.9999999994179,798014.0000000001,798288.9999999995,1
20250530,274.9999999994179,836331.9999999999,836606.9999999993,1
